sentence,gt
বর হাতি চড়িয়া মশাল জ্বালাইয়া বাজনা বাজাইয়া যথাসময়ে আসিয়া উপস্থিত।,বর $হাতি$ $চড়িয়া$ মশাল $জ্বালাইয়া$ বাজনা $বাজাইয়া$ যথাসময়ে $আসিয়া$ উপস্থিত।
কলির নামেই বর্তমান এই যুগটার নামকরণ হয়েছে কলিযুগ।,কলির নামেই বর্তমান এই যুগটার নামকরণ হয়েছে কলিযুগ।
"শুধু অস্বস্তি নয়, একটু ভয়ভয়ও করে।","শুধু অস্বস্তি নয়, একটু ভয়ভয়ও করে।"
তোমার তো শুধু ভাইয়া ভাবি আর তাদের স্বপ্ন মনে আছে।,তোমার তো শুধু $ভাইয়া ভাবি$ আর তাদের স্বপ্ন মনে আছে।
"এডজের ""পি"" প্রান্তবিন্দুগুলি একটি নিয়মিত বহুভুজের মত সাজানো এবং শীর্ষবিন্দুগুলি ""আর"" ভুজ।","এডজের ""পি"" প্রান্তবিন্দুগুলি একটি নিয়মিত বহুভুজের $মত$ সাজানো এবং শীর্ষবিন্দুগুলি ""আর"" ভুজ।"
তিনি পূর্ব জার্মানির প্রধান সিদ্ধান্ত নির্বাহী ছিলেন।,তিনি পূর্ব জার্মানির প্রধান সিদ্ধান্ত নির্বাহী ছিলেন।
"যুক্তরাষ্ট্রের কৌঁসুলির অনুসন্ধান বলছে, তখন জীবনের হুমকিস্বরূপ নানা কিছুই ঘটতে পারে।","যুক্তরাষ্ট্রের কৌঁসুলির অনুসন্ধান বলছে, তখন জীবনের হুমকিস্বরূপ নানা কিছুই ঘটতে পারে।"
"কেউ কেউ তা চোখ খুলে দেখেনা, ফলে বুঝেনা।","কেউ কেউ তা চোখ খুলে $দেখেনা$, ফলে $বুঝেনা$।"
"সেখানে থাকাকালীন তিনি ""মেলো পার্কের যাদুকর"" ডাকনাম অর্জন করেন।","সেখানে থাকাকালীন তিনি ""মেলো পার্কের যাদুকর"" ডাকনাম অর্জন করেন।"
আমার মেয়েকে বাঁচান।,আমার মেয়েকে বাঁচান।
"এনআইএর অভিযোগ, হায়দার আলী অন্যদের সঙ্গে ষড়যন্ত্র করে মোদিকে নিশানা করেছিলেন।","এনআইএর অভিযোগ, হায়দার $আলী$ অন্যদের সঙ্গে ষড়যন্ত্র করে মোদিকে নিশানা করেছিলেন।"
