sentence,gt
এটা ঠিক আছে।,এটা ঠিক আছে।
চাচা-চাচীদের সাথে অংশীদারে।,$চাচা-চাচীদের$ সাথে অংশীদারে।
গাছের ফাক দিয়ে চতুরদর্শীর চাঁদ উকি দিচ্ছে।,গাছের $ফাক$ দিয়ে চতুরদর্শীর চাঁদ উকি দিচ্ছে।
"আমি শঙ্কিত গলায় জিগ্যেস করলাম, এইমুহূর্তে তুমি কী ভাবছো?","আমি শঙ্কিত গলায় $জিগ্যেস$ করলাম, এইমুহূর্তে তুমি কী $ভাবছো$?"
এইসব খবর ভারতের কোন দৈনিককাগজ আসে কিনা আমার সন্দেহ?,এইসব খবর ভারতের $কোন$ $দৈনিককাগজ$ আসে $কিনা$ আমার সন্দেহ$?$
টেস্টের সবচেয়ে কঠিন চতুর্থ ইনিংসে সর্বোচ্চ সেঞ্চুরির বিশ্ব রেকর্ডও তাঁর দখলে।,টেস্টের সবচেয়ে কঠিন চতুর্থ ইনিংসে সর্বোচ্চ সেঞ্চুরির বিশ্ব রেকর্ডও তাঁর দখলে।
পকেট হইতে তাহা কে পনের টাকা গণিয়া দিবার সময়ে নিজেকে কেন জানি কন্যাদায়গ্রস্থ পিতা মনে হইতেছিল।,পকেট $হইতে$ $তাহা কে$ পনের টাকা $গণিয়া$ $দিবার$ সময়ে নিজেকে কেন জানি কন্যাদায়গ্রস্থ পিতা মনে $হইতেছিল$।
হেলিকপ্টার প্রস্তুত রাখো।,হেলিকপ্টার প্রস্তুত রাখো।
ওয়ারবার্টন পাইক চার্চ নোলে জন্মগ্রহণ করেন এবং উইলিয়াম পাইকের আরেক পুত্র ছিলেন।,ওয়ারবার্টন পাইক চার্চ নোলে জন্মগ্রহণ করেন এবং উইলিয়াম পাইকের আরেক পুত্র ছিলেন।
তিনি থোরভালডসনে তার দাদীর রঙিন স্মৃতি সম্পাদনা এবং প্রকাশ করেছিলেন।,তিনি থোরভালডসনে তার $দাদীর$ রঙিন স্মৃতি সম্পাদনা $এবং$ প্রকাশ করেছিলেন।
কাকে বিশ্বাস কর না মাসিমা।,কাকে বিশ্বাস কর না মাসিমা।
গত রাতে একটা স্বপ্ন দেখি।,গত রাতে একটা স্বপ্ন দেখি।
কার্যক্রমের সময় তিনি অদ্ভুত বিষয়বস্তু লেখার জন্য পরিচিত হয়ে ওঠেন।,কার্যক্রমের সময় তিনি অদ্ভুত বিষয়বস্তু লেখার জন্য পরিচিত হয়ে ওঠেন।
আলম সাহেব এ কথার পরে খুব মনকষ্টে ভুগলেন কিছু দিন।,আলম সাহেব এ কথার পরে খুব $মনকষ্টে$ ভুগলেন $কিছু দিন$।
আমি পুকুরে বেধে রাখা কচ্ছপটা নিয়ে আপার কাছে যাবো।,আমি পুকুরে $বেধে$ রাখা কচ্ছপটা নিয়ে আপার কাছে $যাবো$।
তার নাম এখন অপ্রাপ্তবয়স্কদের মধ্যে সম্পর্কের ক্ষেত্রে একটি দ্বৈত তত্ত্বকে যুক্ত করে।,তার নাম এখন অপ্রাপ্তবয়স্কদের মধ্যে সম্পর্কের ক্ষেত্রে একটি দ্বৈত তত্ত্বকে যুক্ত করে।
"ডিসি না পিসি, কে পাত্তা দেয়?","ডিসি না পিসি, কে পাত্তা দেয়?"
ফ্রি হলে তোমাকে কল করব।,ফ্রি হলে তোমাকে কল করব।
আর ভেতরের ছোট খিলানটি সাধারণ চতুর্কেন্দ্রিক ধরনের।,আর ভেতরের ছোট খিলানটি সাধারণ চতুর্কেন্দ্রিক ধরনের।
"যদি আপনার সাহায্য করতে পারতাম, কিন্তু করতে পারব না।","যদি আপনার সাহায্য করতে পারতাম, কিন্তু করতে পারব না।"
"প্রসঙ্গত, প্রায় দেড় বছর চলচ্চিত্রের কাজ থেকে দূরে সরে ছিলেন অপু বিশ্বাস।","প্রসঙ্গত, প্রায় দেড় বছর চলচ্চিত্রের কাজ থেকে দূরে সরে ছিলেন অপু বিশ্বাস।"
প্রথম বিশ্বযুদ্ধের সময় তিনি ফিল্ড আর্টিলারি রেজিমেন্টে কর্মরত ছিলেন।,প্রথম বিশ্বযুদ্ধের সময় তিনি ফিল্ড আর্টিলারি রেজিমেন্টে কর্মরত ছিলেন।
প্রচুর পরিমাণে পানি বের হয় বলে পানি শূন্যতা দেখা দেয়।,প্রচুর পরিমাণে পানি বের হয় বলে $পানি শূন্যতা$ দেখা দেয়।
উপায় থাকিলে কুমুদকে সে তাড়াইয়া দিত।,উপায় $থাকিলে$ কুমুদকে সে $তাড়াইয়া$ $দিত$।
একজন লোক ইলেকট্রিক বেহালা বাজাচ্ছে।,$একজন$ লোক ইলেকট্রিক বেহালা বাজাচ্ছে।
"চাইলাম আর হয়ে যাবে ,ব্যাপারটা এমন না।","চাইলাম আর হয়ে যাবে ,ব্যাপারটা এমন না।"
"লারাবি, মেলনিক এবং জান্ডারের অ-সংযুক্ত সম্প্রদায়গুলি শহরে অবস্থিত।","লারাবি, মেলনিক $এবং$ জান্ডারের $অ-সংযুক্ত$ $সম্প্রদায়গুলি$ শহরে অবস্থিত।"
কিন্তু এতে আশ্বস্ত হননি ক্ষুব্ধ মানুষ।,কিন্তু এতে আশ্বস্ত হননি ক্ষুব্ধ মানুষ।
ডিমেনসেফ্যালন হচ্ছে মস্তিষ্কের প্রধান শিরাগুলোর মধ্যে একটি যা ভ্রূণাবস্থার সময় গঠিত হয়।,ডিমেনসেফ্যালন হচ্ছে মস্তিষ্কের প্রধান শিরাগুলোর মধ্যে একটি যা ভ্রূণাবস্থার সময় গঠিত হয়।
"লিবিয়া থেকে সর্বশেষ আলপাইন ইউনিটটি ছিল ""ফেলট্রে"" ব্যাটালিয়ন।","লিবিয়া থেকে সর্বশেষ আলপাইন ইউনিটটি ছিল ""ফেলট্রে"" ব্যাটালিয়ন।"
আপিসের সময় আজ অন্তত পঁয়তাল্লিশ মিনিট পেরিয়ে গেল।,আপিসের সময় আজ অন্তত পঁয়তাল্লিশ মিনিট পেরিয়ে গেল।
"হেই, চা খাবি?","হেই, চা খাবি?"
"এই, অশোক।","এই, অশোক।"
"১৯৪৪ সালে যখন তাঁর পিতা, মাতা উভয়েই প্রায়ই ইংরেজের কারারুদ্ধ হচ্ছিলেন তখন তাঁর জন্ম হয়।","১৯৪৪ সালে যখন তাঁর পিতা, মাতা $উভয়েই$ প্রায়ই ইংরেজের কারারুদ্ধ হচ্ছিলেন তখন তাঁর জন্ম হয়।"
"দেশের প্রচলিত গণতান্ত্রীক প্রক্রিয়ায় আমাদের মূদ্রার এপিট, ওপিট দেখা হয়ে গেছে।","দেশের প্রচলিত $গণতান্ত্রীক$ প্রক্রিয়ায় আমাদের $মূদ্রার$ $এপিট$, $ওপিট$ দেখা হয়ে গেছে।"
লজ্জায় দেশ ছাড়তে বাধ্য হয়েছিলেন বাঁধন।,লজ্জায় দেশ ছাড়তে বাধ্য হয়েছিলেন বাঁধন।
"দীপুর পরিবারে শুধু তার বাবা, মা নেই, ভাইবোনও নেই।","দীপুর পরিবারে শুধু তার বাবা$,$ মা নেই, ভাইবোনও নেই।"
তিনি রাজনীতিবিদ এবং সমাজকর্মী ওটোনি ডি পলার পুত্র।,তিনি রাজনীতিবিদ এবং সমাজকর্মী ওটোনি ডি পলার পুত্র।
স্মরণসভার পাশাপাশি গতকাল ঢাকেশ্বরী মন্দিরে প্রয়াত ফণীভূষণের আত্মার শান্তি কামনায় প্রার্থনা করা হয়।,স্মরণসভার পাশাপাশি গতকাল ঢাকেশ্বরী মন্দিরে প্রয়াত ফণীভূষণের আত্মার শান্তি কামনায় প্রার্থনা করা হয়।
ওদিক দিয়া ঘুরিয়া শশী বাড়ির ভিতের গেল।,ওদিক $দিয়া$ $ঘুরিয়া$ শশী বাড়ির $ভিতের$ গেল।
রাজধানীর ইঞ্জিনিয়ার্স ইনস্টিটিউট মিলনায়তনে জাপার নেতৃত্বাধীন সল্ম্মিলিত জাতীয় জোটের (ইউএনএ) শরিক বিএনএর কেন্দ্রীয় প্রতিনিধি সভায় এসব কথা বলেন প্রধানমন্ত্রীর বিশেষ দূত এরশাদ।,রাজধানীর ইঞ্জিনিয়ার্স ইনস্টিটিউট মিলনায়তনে জাপার নেতৃত্বাধীন $$সল্ম্মিলিত জাতীয় জোটের$$ (ইউএনএ) শরিক বিএনএর কেন্দ্রীয় প্রতিনিধি সভায় এসব কথা বলেন প্রধানমন্ত্রীর বিশেষ দূত এরশাদ।
"যত বড় প্রতাপাদিত্যই হউন না কেন, তাঁহার হাত হইতে কাড়িয়া লইব।","যত $বড়$ $প্রতাপাদিত্যই$ $হউন$ না কেন, $তাঁহার$ হাত $হইতে$ $কাড়িয়া$ $লইব$।"
ভাল ছবির কদর সব সময়ই ছিল এবং এখনও আছে।,$ভাল$ ছবির কদর সব সময়ই ছিল এবং এখনও আছে।
জিহাদ অনেক দক্ষতার সাথে ভিডিও শুট করেছে।,জিহাদ অনেক দক্ষতার সাথে ভিডিও $শুট$ করেছে।
"আর খাবারের কথা কি বলবো ,বাংলাদেশ ট্যুরে আমি যা খেয়েছি তার মধ্যে সবচাইতে জেনুইনলি মজার ছিলো এই খাবারগুলো ","আর খাবারের কথা $কি$ বলবো $,$বাংলাদেশ ট্যুরে আমি যা খেয়েছি তার মধ্যে সবচাইতে জেনুইনলি মজার $ছিলো$ এই খাবারগুলো$$ "
তাহলে আমার দূর্বলতা কেউ ধরতে পারবেনা।,তাহলে আমার $দূর্বলতা$ কেউ ধরতে $পারবেনা$।
সে কোন প্রতিপক্ষকে হালকা ভাবে নিত না।,সে $কোন$ প্রতিপক্ষকে $হালকা ভাবে$ নিত না।
শহরের অর্থনীতি ওয়াইন উৎপাদন এবং গবাদি পশু ও ভেড়ার উপর ভিত্তি করে গড়ে উঠেছে।,শহরের অর্থনীতি ওয়াইন উৎপাদন এবং গবাদি পশু ও ভেড়ার $উপর$ ভিত্তি করে গড়ে উঠেছে।
সবকিছু ওর নিয়ন্ত্রণে আছে।,সবকিছু ওর নিয়ন্ত্রণে আছে।
"বাতরা, গুলি বন্ধ কর!","বাতরা, গুলি বন্ধ কর!"
আমি তোমাকে আর বলবো না।,আমি তোমাকে আর বলবো না।
এই পরিসংখ্যানটা তো অনেক টা সুদখোরের সিদ্ধ ডিম বিক্রির ঘটনার মত হয়ে গেল,এই পরিসংখ্যানটা তো $অনেক টা$ সুদখোরের সিদ্ধ ডিম বিক্রির ঘটনার $মত$ হয়ে গেল$$
"ভোর থেকে আসছে অভিনন্দনের টেলিগ্রাম, আর ফুলের তোড়া।","ভোর থেকে আসছে অভিনন্দনের টেলিগ্রাম, আর ফুলের তোড়া।"
এই টাকা টাকা করে কি সবাই টাকাগুলো কবরে নিয়ে যাবে!,এই টাকা টাকা করে কি সবাই টাকাগুলো কবরে নিয়ে যাবে!
আর যে ওদের সামনে মুখ দেখাতে পারব না।,আর যে ওদের সামনে মুখ দেখাতে $পারব$ না।
"শান্তি, শান্তি, শান্তি।","শান্তি, শান্তি, শান্তি।"
"তাহলে নামটা বদলে ফেলে ""সাফা কবির "" থেকে ""সাফ কাফির"" রাখলে ভালো হয়","তাহলে নামটা বদলে ফেলে ""সাফা কবির "" থেকে ""সাফ কাফির"" রাখলে ভালো হয়$$"
নইলে সাক্ষী থেকে যাবে এভাবেই।,$নইলে$ সাক্ষী থেকে যাবে এভাবেই।
"আর আন্দোলন ছাড়া কিছু পাওয়া যায় না, আন্দোলন ছাড়া ভাষা পাওয়া যায় নাই, আন্দোলন ছাড়া দেশ পাওয়া যায় নাই।","আর আন্দোলন ছাড়া কিছু পাওয়া যায় না, আন্দোলন ছাড়া ভাষা পাওয়া যায় নাই, আন্দোলন ছাড়া দেশ পাওয়া যায় নাই।"
"ছবি তোলার তারিখ : ২৫/১২/২০১৬ ইং মাছরাঙা /মাছরাঙ্গা Kingfisher ছবি তোলার স্থান :রমনা পার্ক, ঢাকা, বাংলাদেশ।","ছবি তোলার $তারিখ :$ ২৫/১২/২০১৬ $ইং$ মাছরাঙা /$মাছরাঙ্গা$ $Kingfisher$ $$ছবি তোলার স্থান :রমনা পার্ক, ঢাকা, বাংলাদেশ।"
"এই ব্যাপারটা ভুটানে এসে পর্যন্ত উপলদ্ধি করছি, ওরা ভারতীয়দের থেকে বাংলাদেশীদের বেশি পছন্দ করে, ব্যাপারটা ব্যাখ্যা করেছিল আমাদের পুনাখা ভ্রমণে ট্যাক্সি ড্রাইভার ডুবজং।","এই ব্যাপারটা ভুটানে এসে পর্যন্ত উপলদ্ধি করছি, ওরা ভারতীয়দের থেকে $বাংলাদেশীদের$ বেশি পছন্দ করে, ব্যাপারটা ব্যাখ্যা করেছিল আমাদের পুনাখা ভ্রমণে ট্যাক্সি ড্রাইভার ডুবজং।"
সর্বাধিক পরিচিত বিতরণ আকৃতিগুলি হবে সেইগুলি যা একটি সাধারণ বিতরণ বর্ণালী আকৃতি অনুসরণ করে।,সর্বাধিক পরিচিত বিতরণ $আকৃতিগুলি$ হবে $সেইগুলি$$$ যা একটি সাধারণ বিতরণ $বর্ণালী$ আকৃতি অনুসরণ করে।
